,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number)
Run_246,0.001058626773150197,3194.809833985308,646063.2193741632,3573401.685978369
Run_247,0.0009717657200834833,3154.5456173989137,422468.9282842063,2767108.1872801776
Run_248,0.0008273851665525396,3142.352502978088,25909330.973861117,88773246.56050625
Run_249,0.0006973605429435017,3091.2158954641104,6901830.02008196,41918028.814143464
Run_250,0.0006973919722830282,3091.226670648403,6901848.45362908,41918139.777859345
Run_251,0.0006972754099586868,3091.1830857278815,6862472.137857263,41631381.62512208
Run_252,0.0006973598741130444,3091.215505896426,6883169.3545731865,41922794.74185543
Run_253,0.0007040874404859993,3091.774825569424,8923844.708714461,41709420.67270188
Run_254,0.000809389186901413,3140.8476132369274,20642819.834161445,89517321.77928168
Run_255,0.0009095058769854832,3136.3365417651307,328340.2583286918,2776709.110493064
Run_256,0.0006973605429435017,3091.2158954641104,6901830.02008196,41918028.814143464
Run_257,0.002772622802900022,4038.0176918609473,8630065419.30962,28533691945.05525
Run_258,0.002772622802900022,4038.0176918609473,8630065419.30962,28533691945.05525
Run_259,0.002900080751527952,4084.920450021463,8653771942.687069,28666226288.523438
Run_260,0.002624896805249521,3941.946818338734,4585832605.031815,15763510104.216946
Run_261,0.0027698107589493237,4036.0569707664163,8512104810.143814,28565263903.833057
Run_262,0.002761733903912214,4035.0886307365236,8453852011.254733,28563925436.56822
Run_263,0.0013140929358441392,3470.7647440837595,784651865.5935478,4266899831.6755323
Run_264,0.002772622802900022,4038.0176918609473,8630065419.30962,28533691945.05525
Run_265,0.0013174379165733577,3472.2668115048396,763053359.4160593,4286966014.810287
Run_266,0.00129998433230079,3462.026652368766,406970048.02197045,2508054243.7057757
Run_267,0.0013238340292883843,3474.4372320428183,763112040.4856939,4287429805.253867
Run_268,0.0013175502997626678,3472.338161431588,766830209.4360392,4285888339.945016
Run_269,0.001318744265753045,3472.6406780296406,782987735.654018,4284839480.881557
Run_270,0.002810540404853844,4054.2075716253207,8355196076.566122,28725784328.187256
Run_271,0.0013174379165733577,3472.2668115048396,763053359.4160593,4286966014.810287
Run_272,0.0013174379165733577,3472.2668115048396,763053359.4160593,4286966014.810287
Run_273,979.8678380971199,58884.82121322872,404.54098561849577,9183.95537279233
Run_274,979.8678380971199,58884.82121322872,404.54098561849577,9183.95537279233
Run_275,979.8678381459692,58884.821195983684,405.26136271243803,9238.773929742229
Run_276,979.867837922131,58884.82120917852,406.2417007035491,9313.366995659504
Run_277,979.8688824907466,58884.8207144703,404.2173387678876,9183.943923467434
Run_278,757.7765204553237,59105.05480175321,405.27150450134803,9239.170625256813
Run_279,1231.1411510545495,58639.00148416963,365.83907604223646,10700.497969362832
Run_280,43769.74983209245,18510.592818189558,441.3701974652097,18937.082556441233
Run_281,43821.89315373519,19325.889181299575,382.29092307619703,36126.79815742959
Run_282,43821.89314818911,19325.889181396386,381.6394652242228,36011.394294700396
Run_283,43821.89314906465,19325.889181397768,379.6932160191577,35666.26577236511
Run_284,43821.89287173151,19325.889500620404,382.2925446243817,36126.802327125675
Run_285,48018.48947915496,15683.20560005523,462.4552151596199,25603.977461816266
Run_286,39245.87752046134,22615.48353929011,384.66260317405863,29258.508538542126
Run_287,952.8512956475537,58914.735747539,366.73734263278425,10926.625389241008
Run_288,43821.89315373519,19325.889181299575,382.29092307619703,36126.79815742959
Run_289,0.003224252481276561,6282.265572887183,529083.5880738287,2500302.0618256824
Run_290,0.003224252481276561,6282.265572887183,529083.5880738287,2500302.0618256824
Run_291,0.003224253024938241,6282.265853943356,529107.265638844,2500402.6781368135
Run_292,0.0032242523516191252,6282.265507434045,529076.7360031733,2500273.6287981495
Run_293,0.0032242525534954274,6282.265581718437,529377.7719000358,2500231.0780509976
Run_294,0.002278613077686392,5027.163674534474,582822.2761577222,2694107.0355292866
Run_295,0.0031031822589615574,5830.125816336628,729151.2422270967,2759134.1717833243
Run_296,0.0011078346898267183,3279.1119996640723,31642565.133121923,83963043.89375556
Run_297,0.0011406947141461815,3266.953589667316,56422128.41389164,137093469.14922488
Run_298,0.0011405398136307755,3266.906192044668,56422088.97856438,137093365.84974793
Run_299,0.0011407042208009736,3266.9564674567678,56422129.86965542,137093471.39072514
Run_300,0.0011406930876786349,3266.9527078829133,56382647.023862235,137103700.79961395
Run_301,0.001275455780877492,3330.594423139853,59261533.57287963,135098246.51616845
Run_302,0.0009939524898950037,3222.9496886071565,29777710.64388821,85094598.16177166
Run_303,0.002281062699397898,4713.541917930642,826394.0072408408,3025293.4570410596
Run_304,0.0011406947141461815,3266.953589667316,56422128.41389164,137093469.14922488
Run_305,0.11242820275735618,59715.21319937999,41643.5385278541,8984.913418196025
Run_306,0.11242820275735618,59715.21319937999,41643.5385278541,8984.913418196025
Run_307,0.11242820275372646,59715.21319726413,41541.301274114805,8659.66485797353
Run_308,0.11242820272907103,59715.21318089281,40555.10934943428,6059.884390362872
Run_309,0.11242687067101002,59714.57732597783,41740.26474465882,8996.888191449767
Run_310,0.11240957024252109,59708.097578440065,42729.02649247082,9276.092294680593
Run_311,0.11226160909196187,59667.80732127004,46204.97836665667,11345.64874363588
Run_312,0.08150474369005208,47545.16555616041,91665.29784414772,544983.6308443976
Run_313,0.07368199278554721,44384.36572527958,69568.59418471706,371146.5762924137
Run_314,0.07368199288570682,44384.36581450872,78267.88151347745,485214.0479440244
Run_315,0.07368199321506791,44384.36604859876,93393.25443392924,662507.177294701
Run_316,0.07368200837567278,44384.36766563833,69568.6550345899,371146.5300737155
Run_317,0.07516676382541129,44991.59280994553,70394.47980218024,357135.96033328533
Run_318,0.08020254315926208,47018.52255999371,69640.6880766742,307755.65181470534
Run_319,0.11223484693326574,59657.34686932327,45094.31270850559,6078.557889382874
Run_320,0.07368199278554721,44384.36572527958,69568.59418471706,371146.5762924137
Run_321,0.0009057643370055727,3182.001390924203,37027157.35413739,146048164.4474595
Run_322,0.0009057643370055727,3182.001390924203,37027157.35413739,146048164.4474595
Run_323,0.0009058231790599685,3182.0193508606135,37027170.57274969,146048216.42432353
Run_324,0.0009058197641047759,3182.018335490705,37027170.048411496,146048214.13534892
Run_325,0.0009057915533903249,3182.017934474248,37788112.244326994,145875708.40104675
Run_326,0.000903443190621304,3181.809881666555,36439557.97391174,146163394.95605192
Run_327,0.0009057643370055727,3182.001390924203,37027157.35413739,146048164.4474595
Run_328,0.06481856025905747,40713.68974016248,95972.71073155593,840530.630747555
Run_329,0.06339396062531867,40114.93705955677,96692.65576861464,869273.121719602
Run_330,0.0633939606144637,40114.937053828035,96507.79112593958,866900.0934471972
Run_331,0.06339396062028209,40114.937056269875,96527.64904614227,867154.8758849946
Run_332,0.06339443212725648,40115.00128472565,95607.44026138954,869451.5945356607
Run_333,0.06481809706536527,40713.62707846644,97552.40337494676,846950.282482972
Run_334,0.06339396062531867,40114.93705955677,96692.65576861464,869273.121719602
Run_335,0.0009035561959852041,3181.8531436838884,37208291.70168795,145990553.01425967
Run_336,0.06339396062531867,40114.93705955677,96692.65576861464,869273.121719602
Run_337,0.0961303884724956,53340.66042965832,103043.50745715863,317512.4445207105
Run_338,0.0961303884724956,53340.66042965832,103043.50745715863,317512.4445207105
Run_339,0.09613038846090695,53340.66042464691,102800.2237269318,315766.6458033722
Run_340,0.09613038846418388,53340.66042651238,102837.91703038433,316037.0857282253
Run_341,0.0961304493811466,53340.66705291945,102727.34189558767,317575.41035418387
Run_342,0.09413575404579495,52562.241707324625,102868.4013234219,352542.3006050851
Run_343,0.09927985617718149,54586.611123366136,96598.61817867124,256022.78768157586
Run_344,0.002114880227616108,3786.497027028416,3844722721.259134,13700062909.467672
Run_345,0.001329194991912984,3476.1327700924994,859905186.3854005,4278752880.1047444
Run_346,0.0013322479206478203,3477.075367583192,859906434.1627468,4278759343.6485324
Run_347,0.0013320542611262387,3477.01730834306,859906396.364111,4278759168.2260904
Run_348,0.0013293166997660106,3476.2033956259775,863253014.0547599,4277783242.2862535
Run_349,0.001353313657580061,3478.3557845550126,890462895.3048552,4251538161.8383303
Run_350,0.002055262739384795,3776.41583127547,3724647490.3690963,13821896537.673304
Run_351,0.09763329622476873,53944.799157674744,95677.30241153053,279792.82039981266
Run_352,0.001329194991912984,3476.1327700924994,859905186.3854005,4278752880.1047444
Run_353,825713.6832969408,6047.559891245545,17706.169751696987,2521647.664765202
Run_354,825713.6832969408,6047.559891245545,17706.169751696987,2521647.664765202
Run_355,825713.6832981029,6047.559854082203,11312.769569349357,1733127.6185058588
Run_356,825713.6832968849,6047.559867140942,13706.96454051761,2036953.3635022575
Run_357,825713.6850495524,6047.558084086523,17706.16857131708,2521647.6333951955
Run_358,0.0054597549224047635,4089.6658194656907,9035407192.617727,11971609771.363121
Run_359,1213666.9362865128,7356.031221783598,32316.680965388074,4607657.22168191
