,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_203,0.111309799,59408.86438,61363.78848,9330.724721,,,,,
Run_204,0.111309799,59408.86438,61310.47194,9272.852458,,,,,
Run_205,0.112059208,59694.38986,20712.92241,4640.669057,,,,,
Run_206,0.111684576,59510.3379,56753.27083,7333.164094,,,,,
Run_207,0.053917825,36118.88944,70595.96941,360854.8639,,,,,
Run_208,0.111309799,59408.86438,61310.47194,9272.852458,,,,,
Run_209,0.002695079,3993.293334,4143730424,14569840039,,,,,
Run_210,0.002677558,3985.098684,3764923906,13214137457,,,,,
Run_211,0.002695441,3993.401026,4143730468,14569840346,,,,,
Run_212,0.002667021,3984.381402,4143699175,14569710844,,,,,
Run_213,0.002695079,3993.293334,4143730424,14569840039,,,,,
Run_214,1226605.79,7885.347967,5911.880761,367529.7693,,,,,
Run_215,0.001958227,3736.158156,1671257063,7127989568,,,,,
Run_216,0.001166126,3238.228767,742813.0294,3138868.077,,,,,
Run_217,50453.43958,13450.96347,440.1073756,23334.99235,,,,,
Run_218,50778.52239,13153.99197,437.6169813,23130.37615,,,,,
Run_219,50778.52239,13153.99197,447.1164696,24469.98404,,,,,
Run_220,50778.52239,13153.99197,438.142489,23204.73112,,,,,
Run_221,0.001051374,3192.740225,462010.3037,2552270.554,,,,,
Run_222,53265.92688,11939.36844,439.865259,26876.12341,,,,,
Run_223,835137.2736,6142.711346,3456.817658,177418.6644,,,,,
Run_224,50778.52239,13153.99197,438.142489,23204.73112,,,,,
Run_225,0.111441627,59405.40764,64294.978,14676.45705,,,,,
Run_226,0.111385388,59387.32889,65048.38257,14709.44804,,,,,
Run_227,0.111441627,59405.40763,64838.13226,15523.69355,,,,,
Run_228,0.111441626,59405.4076,63613.43752,13651.46607,,,,,
Run_229,0.111441627,59405.40764,64294.978,14676.45705,,,,,
Run_230,0.112293663,59729.81725,25604.93925,5916.433287,,,,,
Run_231,0.111441627,59405.40764,64294.978,14676.45705,,,,,
Run_232,0.045302643,32253.15127,70761.65493,667667.8343,,,,,
Run_233,0.097595609,53932.41875,103547.7295,176454.0933,,,,,
Run_234,0.097076325,53734.5188,99053.11129,157961.7596,,,,,
