,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_222,1226511.13,7870.340417,5697.866252,336829.0996,,,,,
Run_223,835137.2715,6142.713557,3456.821178,177418.6991,,,,,
Run_224,835137.2715,6142.713557,3456.821178,177418.6991,,,,,
Run_225,0.002465566,3920.305658,983416503.7,4443431830,,,,,
Run_226,0.002456562,3917.892916,846770885.9,3891171782,,,,,
Run_227,0.002477752,3924.447061,983800990.3,4445090598,,,,,
Run_228,0.002454864,3915.191372,938658219.3,4291315419,,,,,
Run_229,0.002466112,3920.663553,1003280064,4441344572,,,,,
Run_230,0.002880897,3948.797993,1904566077,4265479457,,,,,
Run_231,0.002465566,3920.305658,983416503.7,4443431830,,,,,
Run_232,0.002465566,3920.305658,983416503.7,4443431830,,,,,
Run_233,0.002900416,3955.614634,1920438738,4264613240,,,,,
Run_234,0.002835749,3935.584849,1625267874,3623917110,,,,,
Run_235,0.002873792,3950.657824,1685855823,3745488831,,,,,
Run_236,0.002870047,3949.381602,1671823872,3747499442,,,,,
Run_237,0.002466044,3921.33342,864742452.9,3890926803,,,,,
Run_238,0.002870581,3949.684661,1685855018,3745487152,,,,,
Run_239,0.002870581,3949.684661,1685855018,3745487152,,,,,
Run_240,0.002870581,3949.684661,1685855018,3745487152,,,,,
Run_241,0.001828947,3699.908822,2105271.188,22193813.84,,,,,
Run_242,0.001818082,3699.792159,1134818.885,14278792.28,,,,,
Run_243,0.001828915,3699.894937,2019897.984,21845497.92,,,,,
Run_244,0.001828954,3699.91113,2105275.91,22193840.4,,,,,
Run_245,0.001828948,3699.909726,2149139.124,22193332.74,,,,,
Run_246,0.001767514,3699.333806,1164698.266,22202335.49,,,,,
Run_247,0.001273934,3458.527071,560773.8225,9343694.019,,,,,
Run_248,0.001828947,3699.908822,2105271.188,22193813.84,,,,,
Run_249,0.001255268,3458.35194,328093.3284,9345482.127,,,,,
Run_250,0.001252262,3458.322911,184198.024,6184734.647,,,,,
Run_251,0.00125226,3458.321833,177358.3507,6107278.629,,,,,
Run_252,0.001252262,3458.322622,182935.7888,6184707.864,,,,,
Run_253,0.00127081,3458.493962,316069.9787,6183855.466,,,,,
Run_254,0.001758433,3699.243363,638773.6952,14282611.45,,,,,
Run_255,0.001252262,3458.322647,184195.5201,6184703.791,,,,,
Run_256,0.001252262,3458.322647,184195.5201,6184703.791,,,,,
Run_257,0.002373088,3903.075525,8556657.284,65442739.06,,,,,
Run_258,0.00255118,3918.692652,982018121.4,3184545351,,,,,
Run_259,0.002373217,3903.126844,8696372.761,65869704.95,,,,,
Run_260,0.002372968,3902.988656,3555134.125,41278731.39,,,,,
Run_261,0.002373075,3903.069009,8107132.105,65447642.76,,,,,
Run_262,0.002359999,3902.949719,8060189.435,65448954.01,,,,,
Run_263,0.001270914,3458.501368,939319.3542,15113678.96,,,,,
Run_264,0.002373088,3903.075525,8556657.284,65442739.06,,,,,
Run_265,0.001269048,3458.485367,884194.4538,15186385.9,,,,,
Run_266,0.001290287,3458.978998,40624300.8,331523249,,,,,
Run_267,0.001293,3460.437132,88298962.12,548741603.6,,,,,
