,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,,
Run_235,0.099062103,54223.43471,123419.8837,172073.4702,,,,,,
Run_236,0.099062103,54223.43471,123045.6193,170875.225,,,,,,
Run_237,0.04595191,32408.72933,95536.16473,672392.8042,,,,,,
Run_238,0.099062103,54223.43471,123045.6193,170875.225,,,,,,
Run_239,0.112415924,59772.4225,13624.95754,5472.239748,,,,,,
Run_240,0.099062103,54223.43471,123045.6193,170875.225,,,,,,
Run_241,0.000856165,3131.949886,18650.99899,287080.8861,,,,,,
Run_242,0.000824189,3121.499941,14433.77233,244301.911,,,,,,
Run_243,0.000856165,3131.949827,18544.95907,286648.0938,,,,,,
Run_244,0.000856165,3131.949896,18651.89371,287087.2525,,,,,,
Run_245,0.000856165,3131.949886,18650.99899,287080.8861,,,,,,
Run_246,0.00068438,3072.292751,11987.54769,287337.5589,,,,,,
Run_247,0.000777984,3096.202062,12181.29736,270922.0588,,,,,,
Run_248,0.000774593,3137.733962,88052.27513,950002.6575,,,,,,
Run_249,0.000667403,3088.750676,21940.63116,652752.1212,,,,,,
Run_250,0.000665079,3088.565758,15427.52743,510758.3305,,,,,,
Run_251,0.000665079,3088.565701,15224.53269,508906.1612,,,,,,
Run_252,0.000665079,3088.565744,15427.44451,510757.1395,,,,,,
Run_253,0.0006799,3089.731934,24089.48176,510707.0552,,,,,,
Run_254,0.000736573,3134.757835,32841.58992,721285.6156,,,,,,
Run_255,0.000640483,3049.186487,7237.957241,232269.4317,,,,,,
Run_256,0.000665079,3088.565744,15427.44451,510757.1395,,,,,,
Run_257,0.00238883,3903.180797,9161090.517,65534952.17,,,,,,
Run_258,0.002565423,3919.309806,1021147677,3198940580,,,,,,
Run_259,0.002388968,3903.23608,9313117.502,65965526.68,,,,,,
Run_260,0.002388701,3903.087456,3805494.408,41302392.54,,,,,,
Run_261,0.00238883,3903.180797,9161090.517,65534952.17,,,,,,
Run_262,0.002375161,3903.05189,8643785.048,65539949.29,,,,,,
Run_263,0.001271227,3458.502013,963392.5031,15117045.38,,,,,,
Run_264,0.00238883,3903.180797,9161090.517,65534952.17,,,,,,
Run_265,0.001269341,3458.486358,925491.0861,15189558.3,,,,,,
Run_266,0.001290624,3458.985512,41392275.12,331581992.5,,,,,,
Run_267,0.001293393,3460.472534,89967023.44,548922733,,,,,,
Run_268,0.00129259,3460.192236,89933157.95,548751418.3,,,,,,
Run_269,0.001293829,3460.256368,92916834.09,548576496.6,,,,,,
Run_270,0.002561157,3921.5289,998118640.3,3227192336,,,,,,
Run_271,0.00129259,3460.192236,89933157.95,548751418.3,,,,,,
Run_272,0.00129259,3460.192236,89933157.95,548751418.3,,,,,,
Run_273,1523.131164,58339.89377,332.74534,7585.735374,,,,,,
Run_274,7940.364873,51745.62018,108.8582566,2466.848456,,,,,,
Run_275,1523.131163,58339.89376,333.2926571,7627.991834,,,,,,
Run_276,1523.131163,58339.89376,334.0365133,7685.418629,,,,,,
Run_277,1523.131164,58339.89377,332.74534,7585.735374,,,,,,
Run_278,1179.922729,58683.15573,331.1318452,7612.823944,,,,,,
Run_279,1845.647211,58061.4964,293.0738639,8561.349253,,,,,,
Run_280,50095.32595,12527.05482,425.6319612,17932.45108,,,,,,
Run_281,50425.56805,13247.10398,303.3373761,28571.17476,,,,,,
Run_282,62205.40176,3344.722643,171.7741239,6607.914703,,,,,,
Run_283,62205.40176,3344.722643,171.454947,6567.422799,,,,,,
Run_284,62205.40176,3344.722643,171.8804945,6621.405385,,,,,,
Run_285,62210.58125,3336.419538,172.0274996,6620.507547,,,,,,
Run_286,60047.84069,3268.578186,167.0889071,6346.299808,,,,,,
Run_287,7478.902405,52287.55802,86.92048835,2558.952651,,,,,,
Run_288,62205.40176,3344.722643,171.8804945,6621.405385,,,,,,
Run_289,0.00262871,5500.722168,465359.0764,2109588.148,,,,,,
Run_290,0.001152198,3221.566873,129085.2745,709153.4526,,,,,,
Run_291,0.002628711,5500.72242,465369.6892,2109630.628,,,,,,
Run_292,0.00262871,5500.72211,465356.0011,2109576.142,,,,,,
Run_293,0.00262871,5500.722168,465359.0764,2109588.148,,,,,,
Run_294,0.001878218,4403.79245,515526.8183,2276676.337,,,,,,
Run_295,0.002603611,5137.609094,661441.7148,2326660.141,,,,,,
Run_296,0.001038797,3243.954208,22347083.48,56153404.2,,,,,,
Run_297,0.001078859,3234.88306,40558308.71,90753573.08,,,,,,
Run_298,0.000935459,3183.487529,2535664.306,7017585.231,,,,,,
Run_299,0.000935466,3183.490025,2535667.284,7017591.367,,,,,,
Run_300,0.000935466,3183.489882,2535667.199,7017591.169,,,,,,
Run_301,0.000944172,3184.1584,2793942.289,7011855.981,,,,,,
Run_302,0.000819547,3141.229252,1327159.731,4863907.623,,,,,,
Run_303,0.001265771,3265.980671,173604.221,773089.4779,,,,,,
Run_304,0.000935466,3183.489882,2535667.199,7017591.169,,,,,,
Run_305,0.111603747,59466.38015,56048.20245,9089.2969,,,,,,
Run_306,0.112311745,59684.78262,41357.96549,8520.813738,,,,,,
Run_307,0.111603747,59466.38014,55762.08215,8773.685363,,,,,,
Run_308,0.111603747,59466.3801,53035.93244,6129.364946,,,,,,
Run_309,0.111603747,59466.38015,56048.20245,9089.2969,,,,,,
Run_310,0.111557724,59448.78797,57289.96118,9438.151804,,,,,,
Run_311,0.111493587,59444.24447,50943.28288,9811.325355,,,,,,
Run_312,0.052974348,35583.24974,64735.66731,405075.0529,,,,,,
Run_313,0.043552982,31394.98495,49822.76285,273697.6773,,,,,,
Run_314,0.066946621,41540.20054,81943.8115,451733.7811,,,,,,
Run_315,0.066946621,41540.20084,100923.1043,613267.8224,,,,,,
Run_316,0.066946621,41540.20043,71245.14696,345910.7181,,,,,,
Run_317,0.068617416,42235.0032,72264.40145,333434.6992,,,,,,
Run_318,0.073383598,44230.75304,65256.53195,292646.6924,,,,,,
Run_319,0.11220851,59659.73526,37467.72795,5012.433036,,,,,,
Run_320,0.066946621,41540.20043,71245.14696,345910.7181,,,,,,
Run_321,0.000869061,3178.462985,5105271.592,23256536.08,,,,,,
Run_322,0.000858245,3177.586603,2940059.747,15069244.77,,,,,,
Run_323,0.000869069,3178.465708,5105274.182,23256545.13,,,,,,
Run_324,0.000869069,3178.465554,5105274.085,23256544.73,,,,,,
Run_325,0.000869061,3178.462985,5105271.592,23256536.08,,,,,,
Run_326,0.000866181,3178.239341,4980283.36,23264398.84,,,,,,
Run_327,0.000869061,3178.462985,5105271.592,23256536.08,,,,,,
Run_328,0.043268839,31199.36875,88357.22288,617013.9465,,,,,,
Run_329,0.041692846,30472.93433,87098.20661,631509.9124,,,,,,
Run_330,0.035859677,27739.70273,75158.20665,568976.6917,,,,,,
Run_331,0.035859677,27739.70273,75169.72426,569077.5933,,,,,,
Run_332,0.035859677,27739.70273,75264.87908,569912.9472,,,,,,
Run_333,0.037389246,28471.22373,77004.27774,561378.2239,,,,,,
Run_334,0.035859677,27739.70273,75264.87908,569912.9472,,,,,,
Run_335,0.000855344,3177.363348,2861640.369,15072735.44,,,,,,
Run_336,0.035859677,27739.70273,75264.87908,569912.9472,,,,,,
Run_337,0.096812723,53468.14878,115658.5382,313938.0483,,,,,,
Run_338,0.095461098,52952.37611,114414.836,309777.8143,,,,,,
Run_339,0.096812723,53468.14878,115352.5174,312175.6924,,,,,,
Run_340,0.096812723,53468.14878,115399.9324,312448.704,,,,,,
Run_341,0.096812723,53468.14878,115658.5382,313938.0483,,,,,,
Run_342,0.09478337,52685.02563,116147.1462,348851.2342,,,,,,
Run_343,0.099214258,54505.26534,96854.92918,255399.5211,,,,,,
Run_344,0.002104813,3782.607887,3682775098,12620224001,,,,,,
Run_345,0.001327569,3475.013349,804967724,3938033908,,,,,,
Run_346,0.001322186,3471.583106,603793375.7,2927394129,,,,,,
Run_347,0.001322047,3471.541281,603793348.2,2927394001,,,,,,
Run_348,0.001319993,3470.904026,603792399,2927389377,,,,,,
Run_349,0.001322446,3471.494069,629634217.9,2925162533,,,,,,
Run_350,0.002019988,3755.288559,2693049449,9336408774,,,,,,
Run_351,0.096253278,53362.03422,95218.75539,275964.6112,,,,,,
Run_352,0.001319993,3470.904026,603792399,2927389377,,,,,,
Run_353,826002.1865,5850.693397,8762.001154,1395730.594,,,,,,
Run_354,825950.5791,5812.204218,6984.28044,1131965.902,,,,,,
Run_355,826002.1865,5850.693383,6037.20513,996941.2672,,,,,,
Run_356,826002.1864,5850.693388,7060.093293,1151642.505,,,,,,
Run_357,826002.1865,5850.693397,8762.001154,1395730.594,,,,,,
Run_358,0.004712397,3952.637152,3681429666,4264763183,,,,,,
Run_359,1214918.976,7151.498933,15647.72893,2443166.69,,,,,,
Run_360,1.226684956,59848.40986,763.6720556,4211.613289,,,,,,
Run_361,0.112633495,59834.09485,2701.812714,3415.375131,,,,,,
Run_362,0.112582186,59823.73889,2955.105132,4174.158377,,,,,,
Run_363,0.112582186,59823.73889,2946.139517,3913.288905,,,,,,
Run_364,0.112582186,59823.73889,2925.264232,3328.79874,,,,,,
Run_365,1.353586348,59829.46032,704.1980166,3261.501887,,,,,,
Run_366,0.112632474,59833.51148,2945.069814,3066.507399,,,,,,
Run_367,0.006404352,4186.943076,3276143168,3463845788,,,,,,
